accuracy,f1_score,precision,recall
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.99812734082397,1.0,0.9981060606060606,0.9990521327014218
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984399375975039,1.0,0.9984251968503937,0.9992119779353822
1.0,1.0,1.0,1.0
0.99800796812749,1.0,0.997979797979798,0.9989888776541962
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987623762376238,1.0,0.9987531172069826,0.9993761696818465
0.9943899018232819,1.0,0.9943422913719944,0.9971631205673759
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.998165137614679,1.0,0.9981447124304267,0.9990714948932219
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9979879275653923,1.0,0.9979633401221996,0.9989806320081549
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9982964224872232,1.0,0.9982788296041308,0.9991386735572783
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987080103359173,1.0,0.9986979166666666,0.9993485342019544
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985380116959064,1.0,0.9985228951255539,0.9992609016999261
0.9982758620689656,1.0,0.9982578397212544,0.999128160418483
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9969558599695586,1.0,0.9969230769230769,0.9984591679506933
0.9982993197278912,1.0,0.9982788296041308,0.9991386735572783
1.0,1.0,1.0,1.0
0.9983136593591906,1.0,0.9982964224872232,0.9991474850809889
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987730061349693,1.0,0.9987639060568603,0.9993815708101422
1.0,1.0,1.0,1.0
0.998639455782313,1.0,0.9986263736263736,0.9993127147766323
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9986013986013986,1.0,0.998589562764457,0.9992942836979535
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
